Sr.No,Name,CMP,P/E,Mar_cap,Div_yid,NP_Qtr,Qtr_profit_var,Sales_Qtr,Qtr_Profit_var,ROCE,Sales_growth,Sales_Var_10_years,ROE
83,GNA Axles,975.15,15.35,2093.2,0.62,33.16,22.59,374.02,-0.31,21.61,20.13,16.33,19.88
84,RACL Geartech,1262.4,33.87,1361.07,0.12,8.78,45.12,88.44,13.05,21.58,26.06,14.22,25.06
85,KDDL Ltd,1941.65,36.78,2434.27,0.1,32.87,95.45,331.52,34.07,21.58,30.2,15.2,15.14
86,ICICI Lombard,1327.9,36.85,65237.83,0.75,390.36,11.84,4694.4,13.68,21.24,14.31,16.11,17.64
87,KRBL,400.7,12.9,9432.07,0.25,194.65,18.36,1413.65,15.1,20.88,25.45,10.09,16
88,Satia Industries,132.25,5.37,1322.5,0.76,84.15,178.27,481.17,15.38,20.66,74.37,21.09,30.07
89,Paushak,6774.35,41.5,2087.93,0.26,9.14,-20.87,48.61,-3.36,20.51,18.64,15.37,15.27
90,Navin Fluo.Intl.,4414.8,60.42,21887.38,0.16,61.53,-17.35,491.15,23.55,20.45,42.42,14.21,18.21
91,Monte Carlo Fas.,748.95,12.41,1552.73,2.67,-11.59,-195.66,138.77,22.95,20.37,17.23,11.03,18.13
92,Avenue Super.,3540.95,96.19,230294.08,0,658.71,2.46,11865.44,18.2,20.1,24.66,29.06,15.95
93,Transpek Inds.,1902.4,12.81,1062.6,1.45,15.85,-3.35,162.16,-23.32,19.92,12.87,13.07,15.96
94,Torrent Pharma.,1980.6,52.82,67032.5,1.11,378,6.78,2591,10.4,19.82,13.08,11.63,20.03
95,Cyient,1541.9,28.23,17049.56,1.69,169.1,51.55,1686.5,34.91,19.77,36.52,12.38,16.63
96,Granules India,290.35,16.5,7209.18,0.52,47.9,-62.45,985.52,-3.34,19.43,13.81,19.47,19.1
97,Poly Medicure,1340.95,59.85,12869.18,0.19,62.7,132.57,320.83,28.93,18.91,23.67,15.71,15.39
98,Arman Financial,2366.65,17.03,2010.13,0,39.94,154.23,149.51,89.49,18.72,87.29,37.95,32.44
99,Natco Pharma,864.95,19.37,15790.28,0.81,420.3,31.18,1140.5,28.93,18.03,22.48,15.15,15.66
100,HLE Glascoat,570.4,79.27,3893.86,0.18,7.71,-40.78,126.49,-10.2,17.7,18.26,23.99,17.48
101,Sun Pharma.Inds.,1134.9,30.85,272300.53,1.01,2005.65,10.03,11940.84,10.96,17.37,13.52,14.7,16.55
102,ERIS Lifescience,830.25,30.13,11291.9,0.89,93.65,0.61,466.62,17.07,17.01,25.56,15.67,18.23
103,Kovai Medical,2492.15,22.16,2726.41,0.2,31.05,30.52,274.61,16.34,16.79,17.2,13.12,17.67
104,Jubilant Food.,481.35,117.91,31761.65,0.25,28.92,-74.31,1334.54,6.33,16.21,10.08,13.81,18.11
105,CCL Products,606.05,29.12,8062.16,0.91,60.71,15.11,654.93,28.6,15.76,34.75,12.27,19.68
106,Team Lease Serv.,2192.7,33.4,3748.81,0,25.76,-2.9,2171.6,15.55,14.82,16.9,20.19,15.13
107,TVS Motor Co.,1341.4,44.11,63729.91,0.37,441.47,46.02,9055.51,23.78,13.48,24.95,15.59,25.64
108,SIS,453.5,18.7,6608.98,0,89.51,8.59,2976.73,11.15,10.55,12.42,15.7,15.58
109,EKI Energy,446.65,3.55,1228.97,1.12,38.09,-76.34,406.57,-40.89,236.09,349.96,29.96,0.14
110,Exhicon Events,305,39.54,362.2,0,4.45,nan,29.53,nan,222.26,nan,8.98,nan
111,Remus Pharma.,4611.25,79.91,679.24,0,4.43,nan,24.55,nan,171.94,55.74,2.54,0.5
112,Ksolves India,1326.6,58.62,1572.82,1.77,7.55,35.3,23.66,46.87,171.27,111.6,0.99,0.51
113,Vasa Denticity,457.55,96.42,732.82,0,nan,nan,nan,nan,111.65,59.43,0.96,0.36
114,Jeena Sikho,1129,46.21,1559.28,0,22.53,nan,117.39,nan,102.84,29.28,59.74,16.66
